"
              Vanderbilt
            ","
                  Anderson Cooper "
"
              The Immortal Life of...
            ","
                  Rebecca Skloot "
"
              Everything I Know About Love
            ","
                Dolly Alderton "
"
              The Diary of a Young Girl
            ","
                Anne Frank "
"
              Unbroken
            ","
                  Laura Hillenbrand "
"
              Becoming
            ","
                Michelle Obama "
"
              The Nazi Conspiracy
            ","
                  Brad Meltzer "
"
              Enchantment
            ","
                Katherine May "
"
              Empire of Pain
            ","
                Patrick Radden Keefe "
"
              Baseball Superstar Aaron Judge
            ","
                  Jon M. Fishman "
"
              The Diary of a Young Girl
            ","
                  Anne Frank "
"
              The Year of Magical Thinking
            ","
                  Joan Didion "
"
              The Stories We Tell
            ","
                  Joanna Gaines "
"
              Tuesdays with Morrie
            ","
                  Mitch Albom "
"
              Eat, Pray, Love
            ","
                  Elizabeth Gilbert "
"
              Gender Queer
            ","
                Maia Kobabe "
"
              The Best Strangers in the World
            ","
                Ari Shapiro "
"
              Surrender
            ","
                Bono "
"
              Shoe Dog: a Memoir by the...
            ","
                Phil Knight "
"
              The Palace Papers
            ","
                  Tina Brown "
"
              Who Was Kobe Bryant?
            ","
                  Ellen Labrecque "
"
              Tuesdays With Morrie
            ","
                Mitch Albom "
"
              The Splendid and the Vile
            ","
                Erik Larson "
"
              The Longest Race: Inside the...
            ","
                  Kara Goucher "
"
              The Revolutionary
            ","
                Stacy Schiff "
"
              A Woman of No Importance
            ","
                Sonia Purnell "
"
              How to Be an Antiracist
            ","
                  Ibram X. Kendi "
"
              The Longest Race: Inside the...
            ","
                  Kara Goucher "
"
              All the Beauty in the World:...
            ","
                  Patrick Bringley "
"
              Hidden Valley Road
            ","
                  Robert Kolker "
"
              All the Beauty in the World:...
            ","
                Patrick Bringley "
"
              Will
            ","
                  Will Smith "
"
              Into the Wild
            ","
                  Jon Krakauer "
"
              It. Goes. So. Fast.
            ","
                Mary Louise Kelly "
"
              Separate Is Never Equal
            ","
                Duncan Tonatiuh "
"
              Look for Me There
            ","
                Luke Russert "
"
              Broken Horses
            ","
                  Brandi Carlile "
"
              Into Thin Air
            ","
                Jon Krakauer "
"
              In Order to Live
            ","
                  Yeonmi Park "
"
              Mean Baby
            ","
                  Selma Blair "
"
              Open Book
            ","
                  Jessica Simpson "
"
              Talking as Fast as I Can
            ","
                  Lauren Graham "
"
              The Boys
            ","
                  Ron Howard "
"
              These Precious Days
            ","
                Ann Patchett "
"
              Rough Sleepers
            ","
                Tracy Kidder "
"
              I Am Malala
            ","
                  Malala Yousafzai "
"
              Choosing to Run
            ","
                  Des Linden "
"
              Unbroken
            ","
                Laura Hillenbrand "
"
              The Woman They Could Not Silence
            ","
                Kate Moore "
"
              The Swedish Art of Aging...
            ","
                  Margareta Magnusson "
"
              River of the Gods
            ","
                  Candice Millard "
"
              Unmasked
            ","
                  Paul Holes "
"
              The Revolutionary
            ","
                  Stacy Schiff "
"
              Murder, Interrupted
            ","
                  James Patterson "
"
              They Called Us Enemy
            ","
                  George Takei "
"
              A Heart that Works
            ","
                  Rob Delaney "
"
              Look for Me There
            ","
                  Luke Russert "
"
              A Very Punchable Face
            ","
                  Colin Jost "
"
              Rogues
            ","
                  Patrick Radden Keefe "
"
              Awe
            ","
                  Dacher Keltner "
"
              The Palace Papers
            ","
                Tina Brown "
"
              Leonardo da Vinci
            ","
                  Walter Isaacson "
"
              Year of Yes: How to Dance It...
            ","
                  Shonda Rhimes "
"
              Stories I Only Tell My Friends
            ","
                  Rob Lowe "
"
              Finding the Mother Tree
            ","
                  Suzanne Simard "
"
              Rough Sleepers
            ","
                  Tracy Kidder "
"
              Your Table Is Ready
            ","
                  Michael Cecchi-Azzolina "
"
              Taste
            ","
                Stanley Tucci "
"
              The Hiding Place
            ","
                  Corrie ten Boom "
"
              In the Dream House
            ","
                  Carmen Maria Machado "
"
              The Code Breaker: Jennifer...
            ","
                Walter Isaacson "
"
              We Were Dreamers
            ","
                  Simu Liu "
"
              Alexander Hamilton
            ","
                Ron Chernow "
"
              A Living Remedy
            ","
                Nicole Chung "
"
              I Swear
            ","
                Katie Porter "
"
              Strangers to Ourselves
            ","
                  Rachel Aviv "
"
              The Code Breaker: Jennifer...
            ","
                  Walter Isaacson "
"
              Good for a Girl
            ","
                  Lauren Fleshman "
"
              Wintering
            ","
                Katherine May "
"
              On Writing: a Memoir of the...
            ","
                  Stephen King "
"
              The Swedish Art of Aging...
            ","
                Margareta Magnusson "
"
              Grant
            ","
                  Ron Chernow "
"
              Your Table Is Ready
            ","
                Michael Cecchi-Azzolina "
"
              Live Wire
            ","
                Kelly Ripa "
"
              No Time Like the Future
            ","
                  Michael J. Fox "
"
              We Don't Know Ourselves
            ","
                Fintan O'Toole "
"
              Real Friends
            ","
                  Shannon Hale "
"
              Broken (in the best possible...
            ","
                  Jenny Lawson "
"
              Best Friends
            ","
                  Shannon Hale "
"
              The Daughter of Auschwitz
            ","
                  Tova Friedman "
"
              En la sombra (Spare)
            ","
                  Príncipe Harry, duque de Sussex "
"
              Brown Girl Dreaming
            ","
                Jacqueline Woodson "
"
              Soccer's G.O.A.T.
            ","
                Jon M. Fishman "
"
              South to America
            ","
                  Imani Perry "
"
              All Things Bright and Beautiful
            ","
                  Christopher Timothy "
"
              The Storyteller
            ","
                Dave Grohl "
"
              Into the Wild
            ","
                Jon Krakauer "
"
              In Order to Live
            ","
                  Yeonmi Park "
"
              River of the Gods
            ","
                Candice Millard "
"
              The Happiest Man on Earth
            ","
                  Eddie Jaku "
"
              Good for a Girl
            ","
                Lauren Fleshman "
"
              Hidden Figures Young Readers'...
            ","
                Margot Lee Shetterly "
"
              Bringing Up Bébé
            ","
                  Pamela Druckerman "
"
              Let's Pretend This Never...
            ","
                  Jenny Lawson "
"
              How to Change Your Mind
            ","
                Michael Pollan "
"
              All Boys Aren't Blue
            ","
                  George M. Johnson "
"
              Hiding Place
            ","
                  Corrie Ten Boom "
"
              We Don't Know Ourselves
            ","
                  Fintan O'Toole "
"
              Everything I Know About Love
            ","
                  Dolly Alderton "
"
              Dying of Politeness
            ","
                  Geena Davis "
"
              Madly, Deeply
            ","
                  Alan Rickman "
"
              Master Slave Husband Wife: an...
            ","
                  Ilyon Woo "
"
              The Extraordinary Life of an...
            ","
                  Paul Newman "
"
              Lionel Messi
            ","
                David Machajewski "
"
              Between Two Kingdoms
            ","
                Suleika Jaouad "
"
              Night
            ","
                  Elie Wiesel "
"
              Trombone Shorty
            ","
                  Troy Andrews "
"
              The Radium Girls
            ","
                Kate Moore "
"
              Live Wire
            ","
                  Kelly Ripa "
"
              I'll Be Gone in the Dark
            ","
                  Michelle McNamara "
"
              A Woman of No Importance
            ","
                  Sonia Purnell "
"
              The Year of Less
            ","
                  Cait Flanders "
"
              Life in Five Senses
            ","
                  Gretchen Rubin "
"
              Unscripted
            ","
                  James B Stewart "
"
              And There Was Light
            ","
                Jon Meacham "
"
              Saved
            ","
                Benjamin Hall "
"
              Wild
            ","
                Cheryl Strayed "
"
              These Precious Days
            ","
                  Ann Patchett "
"
              Beyond the Wand
            ","
                Tom Felton "
"
              I Know Why the Caged Bird Sings
            ","
                  Maya Angelou "
"
              Dinners with Ruth: a Memoir...
            ","
                Nina Totenberg "
"
              Dear Girls
            ","
                  Ali Wong "
"
              Yearbook
            ","
                  Seth Rogen "
"
              Honey, Baby, Mine
            ","
                  Laura Dern "
"
              Unscripted
            ","
                  James B Stewart "
"
              The Immortal Life of...
            ","
                Rebecca Skloot "
"
              10% Happier
            ","
                  Dan Harris "
"
              Walk the Blue Line
            ","
                  James Patterson "
"
              Between the World and Me
            ","
                  Ta-Nehisi Coates "
"
              The Office BFFs
            ","
                  Jenna Fischer "
"
              The Year of Magical Thinking
            ","
                Joan Didion "
"
              A Carnival of Snackery
            ","
                  David Sedaris "
"
              Endurance
            ","
                  Alfred Lansing "
"
              Me Talk Pretty One Day
            ","
                  David Sedaris "
"
              Gymnastics Superstar Simone...
            ","
                  Jon M. Fishman "
"
              Dolly Parton, Songteller: My...
            ","
                  Dolly Parton "
"
              Wintering
            ","
                  Katherine May "
"
              The Daddy Diaries
            ","
                Andy Cohen "
"
              I Swear
            ","
                  Katie Porter "
"
              Alexander Hamilton
            ","
                  Ron Chernow "
"
              The Extraordinary Life of an...
            ","
                  Paul Newman "
"
              Just Mercy (Movie Tie-In...
            ","
                  Bryan Stevenson "
"
              Just Mercy
            ","
                Bryan Stevenson "
"
              Bad Mormon: a Memoir
            ","
                Heather Gay "
"
              Know My Name
            ","
                Chanel Miller "
"
              Yes Please
            ","
                  Amy Poehler "
"
              Tell Me Everything
            ","
                Minka Kelly "
"
              Furiously Happy
            ","
                  Jenny Lawson "
"
              Courtiers
            ","
                  Valentine Low "
"
              Real Friends
            ","
                  Shannon Hale "
"
              In the Dream House
            ","
                Carmen Maria Machado "
"
              While Time Remains: a North...
            ","
                  Yeonmi Park "
"
              Why Fish Don't Exist
            ","
                  Lulu Miller "
"
              The Choice
            ","
                Edith Eva Eger "
"
              Ten Steps to Nanette
            ","
                  Hannah Gadsby "
"
              Steve Jobs
            ","
                  Walter Isaacson "
"
              Open
            ","
                  Andre Agassi "
"
              Everything Happens for a Reason
            ","
                  Kate Bowler "
"
              The Spy and the Traitor
            ","
                  Ben Macintyre "
"
              Did I Ever Tell You This?
            ","
                Sam Neill "
"
              I Don't Need Therapy
            ","
                  Toni Lodge "
"
              A Child Called It
            ","
                Dave Pelzer "
"
              The Legend of Kobe Bryant
            ","
                Triumph Books "
"
              The Choice
            ","
                  Edith Eva Eger "
"
              She Said
            ","
                  Jodi Kantor "
"
              Funny, You Don't Look Autistic
            ","
                  Michael McCreary "
"
              You Will Find Your People
            ","
                  Lane Moore "
"
              The Trump Tapes
            ","
                  Bob Woodward "
"
              So Help Me God
            ","
                  Mike Pence "
"
              Killing the Mob
            ","
                  Bill O'Reilly "
"
              Don't Tell Anybody the...
            ","
                Lucinda Williams "
"
              Diana, William, and Harry
            ","
                  James Patterson "
"
              Facing the Mountain
            ","
                  Daniel James Brown "
"
              This Is Going to Hurt
            ","
                Adam Kay "
"
              Paddle Your Own Canoe
            ","
                  Nick Offerman "
"
              Lionel Messi
            ","
                  Karen Burshtein "
"
              My Body
            ","
                  Emily Ratajkowski "
"
              The Best Minds
            ","
                  Jonathan Rosen "
"
              How Far the Light Reaches
            ","
                  Sabrina Imbler "
"
              The Ride of a Lifetime
            ","
                  Robert Iger "
"
              Who Was Walt Disney?
            ","
                  Whitney Stewart "
"
              The Daughter of Auschwitz
            ","
                  Tova Friedman "
"
              So Help Me God
            ","
                Mike Pence "
"
              Soccer Star Lionel Messi
            ","
                John Albert Torres "
"
              American Predator
            ","
                  Maureen Callahan "
"
              American Sniper
            ","
                  Chris Kyle "
"
              Thunderstruck
            ","
                Erik Larson "
"
              Becoming
            ","
                  Michelle Obama "
"
              Strong as Sandow
            ","
                Don Tate "
"
              We Are Never Meeting in Real...
            ","
                  Samantha Irby "
"
              Brown Girl Dreaming
            ","
                  Jacqueline Woodson "
"
              No Cure for Being Human
            ","
                  Kate Bowler "
"
              Theft by Finding
            ","
                  David Sedaris "
"
              Born to Run
            ","
                  Bruce Springsteen "
"
              Invisible Child
            ","
                  Andrea Elliott "
"
              Run Towards the Danger
            ","
                  Sarah Polley "
"
              Hidden Figures
            ","
                Margot Lee Shetterly "
"
              American Prometheus
            ","
                  Kai Bird "
"
              All Things Wise and Wonderful
            ","
                  Christopher Timothy "
"
              All About Me!
            ","
                  Mel Brooks "
"
              Run Towards the Danger
            ","
                Sarah Polley "
"
              Unraveling
            ","
                Peggy Orenstein "
"
              Spare
            ","
                Prince Harry The Duke of Sussex "
"
              Freezing Order: a True Story...
            ","
                Bill Browder "
"
              Buy Yourself the F*cking Lilies
            ","
                  Tara Schuster "
"
              Making a Scene
            ","
                  Constance Wu "
"
              Unraveling
            ","
                  Peggy Orenstein "
"
              Saved
            ","
                  Benjamin Hall "
"
              Best Friends
            ","
                  Shannon Hale "
"
              Walking with Sam
            ","
                  Andrew McCarthy "
"
              Red Notice: a True Story of...
            ","
                  Bill Browder "
"
              Code Name Blue Wren
            ","
                  Jim Popkin "
"
              Empress of the Nile
            ","
                Lynne Olson "
"
              G-Man (Pulitzer Prize Winner)
            ","
                  Beverly Gage "
"
              Cinema Speculation
            ","
                  Quentin Tarantino "
"
              Eat, Pray, Love
            ","
                Elizabeth Gilbert "
"
              I'm No Philosopher, But I Got...
            ","
                  Kristin Chenoweth "
"
              The Fire Next Time
            ","
                  James Baldwin "
"
              I Want to Die but I Want to...
            ","
                  Baek Sehee "
"
              Honey, Baby, Mine
            ","
                  Laura Dern "
"
              Who Was Anne Frank?
            ","
                  Ann Abramson "
"
              Travels with Charley
            ","
                  John Steinbeck "
"
              I Want to Die but I Want to...
            ","
                  Baek Sehee "
"
              I'd Like to Play Alone, Please
            ","
                  Tom Segura "
"
              The Best Minds
            ","
                Jonathan Rosen "
"
              Once Upon a Tome
            ","
                Oliver Darkshire "
"
              The Girl with Seven Names
            ","
                  Hyeonseo Lee "
"
              A Mystery of Mysteries
            ","
                  Mark Dawidziak "
"
              You're That Bitch
            ","
                  Bretman Rock "
"
              My Love Story: a Memoir
            ","
                  Tina Turner "
"
              Grant
            ","
                Ron Chernow "
"
              What We Don't Talk About When...
            ","
                  Aubrey Gordon "
"
              Courtiers
            ","
                Valentine Low "
"
              Awe
            ","
                Dacher Keltner "
"
              I Am Malala
            ","
                  Malala Yousafzai "
"
              Have I Told You This Already?
            ","
                Lauren Graham "
"
              Just Kids
            ","
                  Patti Smith "
"
              Drinking Games
            ","
                  Sarah Levy "
"
              Wake Up With Purpose!
            ","
                  Sister Jean Dolores Schmidt "
"
              Bringing Up Bébé
            ","
                Pamela Druckerman "
"
              Vanderbilt
            ","
                  Anderson Cooper "
"
              Belonging
            ","
                Michelle Miller "
"
              American Prometheus
            ","
                  Kai Bird "
"
              Basketball's G.O.A.T.
            ","
                Joe Levit "
"
              All Creatures Great and Small
            ","
                James Herriot "
"
              Me
            ","
                  Elton John "
"
              The Wisdom of the Bullfrog
            ","
                  Admiral William H. McRaven "
"
              Madly, Deeply
            ","
                  Alan Rickman "
"
              Somebody's Daughter
            ","
                  Ashley C. Ford "
"
              Life in Five Senses
            ","
                Gretchen Rubin "
"
              Strangers to Ourselves
            ","
                Rachel Aviv "
"
              Every Falling Star
            ","
                  Sungju Lee "
"
              In Love
            ","
                Amy Bloom "
"
              The Boy Who Harnessed the Wind
            ","
                  William Kamkwamba "
"
              Night
            ","
                  Elie Wiesel "
"
              Comedy Comedy Comedy Drama
            ","
                  Bob Odenkirk "
"
              Kitchen Confidential
            ","
                Anthony Bourdain "
"
              I Want to Die but I Want to...
            ","
                  Baek Sehee "
"
              I Am Malala
            ","
                  Malala Yousafzai "
"
              Between the World and Me
            ","
                Ta-Nehisi Coates "
"
              Red Notice
            ","
                Bill Browder "
"
              Wildflower
            ","
                  Drew Barrymore "
"
              The Ride of Her Life
            ","
                Elizabeth Letts "
"
              Killing the Legends
            ","
                  Bill O'Reilly "
"
              The Wright Brothers
            ","
                  David McCullough "
"
              Code Name Blue Wren
            ","
                Jim Popkin "
"
              Team of Rivals
            ","
                  Doris Kearns Goodwin "
"
              Pageboy
            ","
                  Elliot Page "
"
              Hidden Valley Road
            ","
                Robert Kolker "
"
              The Year of Less
            ","
                Cait Flanders "
"
              Shark Lady
            ","
                  Jess Keating "
"
              Maid
            ","
                  Stephanie Land "
"
              1776
            ","
                  David McCullough "
"
              Waypoints
            ","
                  Sam Heughan "
"
              A Living Remedy
            ","
                  Nicole Chung "
"
              G-Man (Pulitzer Prize Winner)
            ","
                Beverly Gage "
"
              The Stories We Tell
            ","
                Joanna Gaines "
"
              Murder, Interrupted
            ","
                James Patterson "
"
              Choosing to Run
            ","
                  Des Linden "
"
              Funny, You Don't Look Autistic
            ","
                Michael McCreary "
"
              The Book of Hope
            ","
                  Jane Goodall "
"
              The Dressmakers of Auschwitz
            ","
                  Lucy Adlington "
"
              Hello, Molly!
            ","
                  Molly Shannon "
"
              How Y'all Doing?
            ","
                  Leslie Jordan "
"
              A Promised Land
            ","
                Barack Obama "
"
              Who Is Michael Jordan?
            ","
                  Kirsten Anderson "
"
              Into Thin Air
            ","
                  Jon Krakauer "
"
              In Love
            ","
                  Amy Bloom "
"
              As You Wish: Inconceivable...
            ","
                  Cary Elwes "
"
              Agatha Christie
            ","
                  Lucy Worsley "
"
              The Surrender Experiment
            ","
                  Michael A. Singer "
"
              Wow, No Thank You.
            ","
                  Samantha Irby "
"
              This Is Going to Hurt
            ","
                  Adam Kay "
"
              Grandma Gatewood's Walk
            ","
                  Ben Montgomery "
"
              While Time Remains: a North...
            ","
                  Yeonmi Park "
"
              Jesus and John Wayne
            ","
                Kristin Kobes Du Mez "
"
              Don't Tell Anybody the...
            ","
                  Lucinda Williams "
"
              Hunger
            ","
                  Roxane Gay "
"
              Inciting Joy
            ","
                  Ross Gay "
"
              Butts: a Backstory
            ","
                  Heather Radke "
"
              Farewell to Manzanar
            ","
                  Jeanne Wakatsuki Houston "
"
              Somebody's Daughter
            ","
                Ashley C. Ford "
"
              Invisible Child
            ","
                Andrea Elliott "
"
              How to Be an Antiracist
            ","
                Ibram X. Kendi "
"
              World Travel
            ","
                  Anthony Bourdain "
"
              The World's Worst Assistant
            ","
                  Sona Movsesian "
"
              The River of Doubt
            ","
                  Candice Millard "
"
              All That She Carried
            ","
                  Tiya Miles "
"
              Lost Connections
            ","
                Johann Hari "
"
              Homes
            ","
                  Abu Bakr al Rabeeah "
"
              Soccer Star Cristiano Ronaldo
            ","
                John Albert Torres "
"
              Washington
            ","
                  Ron Chernow "
"
              The Happiest Man on Earth
            ","
                Eddie Jaku "
"
              Rogues
            ","
                Patrick Radden Keefe "
"
              The Other Wes Moore
            ","
                  Wes Moore "
"
              Brain on Fire
            ","
                  Susannah Cahalan "
"
              Mindhunter: Inside the FBI's...
            ","
                  John E. Douglas "
"
              Extreme Ownership
            ","
                  Jocko Willink "
"
              Monsters
            ","
                  Claire Dederer "
"
              Endurance
            ","
                Alfred Lansing "
"
              What I Talk About When I Talk...
            ","
                  Haruki Murakami "
"
              The Queen
            ","
                  Andrew Morton "
"
              Beautiful Country
            ","
                Qian Julie Wang "
"
              Killing the Legends
            ","
                  Bill O'Reilly "
"
              Why Fish Don't Exist
            ","
                Lulu Miller "
"
              In Pieces
            ","
                Sally Field "
"
              Sorry I'm Late, I Didn't Want...
            ","
                Jessica Pan "
"
              The Diary of a Young Girl
            ","
                  Anne Frank "
"
              Smoke Gets in Your Eyes: and...
            ","
                  Caitlin Doughty "
"
              So Many Steves
            ","
                  Steve Martin "
"
              Going There
            ","
                Katie Couric "
"
              Bad Vibes Only
            ","
                  Nora McInerny "
"
              James Patterson by James...
            ","
                  James Patterson "
"
              Born Standing Up: a Comic's Life
            ","
                  Steve Martin "
"
              The Gay Rights Movement
            ","
                Eric Braun "
"
              Revenge
            ","
                Tom Bower "
"
              The Spy and the Traitor
            ","
                Ben Macintyre "
"
              Brazen
            ","
                  Julia Haart "
"
              I'll Be Gone in the Dark
            ","
                  Michelle McNamara "
"
              Me Talk Pretty One Day
            ","
                David Sedaris "
"
              We Were Dreamers
            ","
                  Simu Liu "
"
              The Power Broker, Volume 1 of 3
            ","
                  Robert A. Caro "
"
              All That She Carried
            ","
                Tiya Miles "
"
              The Climate Book
            ","
                  Greta Thunberg "
"
              Unmasked
            ","
                  Paul Holes "
"
              Lean In
            ","
                  Sheryl Sandberg "
"
              Just Kids
            ","
                Patti Smith "
"
              Nine Black Robes
            ","
                  Joan Biskupic "
"
              Home Sweet Murder
            ","
                  James Patterson "
"
              Destiny of the Republic
            ","
                  Candice Millard "
"
              Reasons to Stay Alive
            ","
                Matt Haig "
"
              Nowhere for Very Long
            ","
                  Brianna Madia "
"
              Spare
            ","
                  Prince Harry The Duke of Sussex "
"
              The Autobiography of Malcolm X
            ","
                Malcolm X "
"
              Who Is Dwayne ""The Rock""...
            ","
                  James Buckley, Jr. "
"
              Fatty Fatty Boom Boom
            ","
                  Rabia Chaudry "
"
              The Invisible Kingdom
            ","
                Meghan O'Rourke "
"
              Wake Up With Purpose!
            ","
                  Sister Jean Dolores Schmidt "
"
              We Were Dreamers
            ","
                Simu Liu "
"
              The Book of Delights
            ","
                Ross Gay "
"
              What We Don't Talk About When...
            ","
                Aubrey Gordon "
"
              Ruth Bader Ginsburg
            ","
                  Jonah Winter "
"
              The Witches
            ","
                  Eliza Foss "
"
              Lost & Found
            ","
                  Kathryn Schulz "
"
              The Urgent Life
            ","
                  Bozoma Saint John "
"
              Killing Lincoln: the Shocking...
            ","
                  Bill O'Reilly "
"
              Open
            ","
                Andre Agassi "
"
              In a Sunburned Country
            ","
                  Bill Bryson "
"
              The Other Family Doctor
            ","
                Karen Fine "
"
              The Divider
            ","
                  Peter Baker "
"
              The Sun Does Shine
            ","
                  Anthony Ray Hinton "
"
              The Wisdom of the Bullfrog
            ","
                Admiral William H. McRaven "
"
              Educated
            ","
                Tara Westover "
"
              Straight Shooter: a Memoir of...
            ","
                  Stephen A. Smith "
"
              Thunderstruck
            ","
                  Erik Larson "
"
              Out of the Corner
            ","
                  Jennifer Grey "
"
              Beautiful Country
            ","
                  Qian Julie Wang "
"
              Enough Already
            ","
                  Valerie Bertinelli "
"
              Killing Kennedy
            ","
                  Bill O'Reilly "
"
              Lady in Waiting
            ","
                Anne Glenconner "
"
              The Years
            ","
                  Annie Ernaux "
"
              Belonging
            ","
                  Michelle Miller "
"
              Love Warrior
            ","
                  Glennon Doyle "
"
              Finding the Mother Tree
            ","
                Suzanne Simard "
"
              Wild
            ","
                Cheryl Strayed "
"
              The Invisible Kingdom
            ","
                  Meghan O'Rourke "
"
              The Philosophy of Modern Song
            ","
                  Bob Dylan "
"
              Things My Son Needs to Know...
            ","
                  Fredrik Backman "
"
              Undaunted Courage
            ","
                  Stephen E. Ambrose "
"
              You Will Find Your People
            ","
                Lane Moore "
"
              The Lord God Made Them All
            ","
                  Christopher Timothy "
"
              Helen Keller: Una nueva...
            ","
                Tamara Hollingsworth "
"
              If You Ask Me
            ","
                  Betty White "
"
              How Far the Light Reaches
            ","
                Sabrina Imbler "
"
              Mean Baby
            ","
                Selma Blair "
"
              How Not to Kill Yourself
            ","
                Clancy Martin "
"
              A Billion Years
            ","
                  Mike Rinder "
"
              Grandma Gatewood's Walk
            ","
                Ben Montgomery "
"
              Flat Broke with Two Goats
            ","
                Jennifer McGaha "
"
              Alexander Hamilton
            ","
                Teri Kanefield "
"
              Who Is J.K. Rowling?
            ","
                  Pam Pollack "
"
              Radical Love
            ","
                  Zachary Levi "
"
              Open Book
            ","
                Jessica Simpson "
"
              Wow, No Thank You.
            ","
                Samantha Irby "
"
              Twelve Patients
            ","
                Eric Manheimer "
"
              Minor Feelings
            ","
                  Cathy Park Hong "
"
              All Things Aside
            ","
                  Iliza Shlesinger "
"
              Who Was Jesus?
            ","
                  Ellen Morgan "
"
              Just as I Am
            ","
                  Cicely Tyson "
"
              Cleopatra
            ","
                  Stacy Schiff "
"
              Washington
            ","
                Ron Chernow "
"
              Titan
            ","
                  Ron Chernow "
"
              The Greatest Love Story Ever...
            ","
                  Megan Mullally "
"
              John Adams
            ","
                  David McCullough "
